pop,lat,lon,rad,th,ele
Piapoco,3,-68,2.23890280723572,8.48556423187256,117.877723693848
Pima,29,-108,1.61455023288727,3.18288397789001,2125.08544921875
Polish,52.2,21,-0.194096803665161,0.912300884723663,101.705085754395
Punjabi,31.5,74.3,1.48677206039429,2.97192811965942,202.033950805664
Quechua,-13.5,-72,2.44148731231689,7.38366031646729,3842.55493164062
Relli,17.7,83.3,2.56215715408325,4.68726110458374,20.2092151641846
Russian,61,40,-0.489299803972244,-1.17024958133698,179.148193359375
Saharawi,27.3,-8.9,1.9401957988739,1.85675811767578,455.348937988281
Samaritan,32.203,35.27,1.08636224269867,1.8156042098999,233.869659423828
Sardinian,40,9,0.439511239528656,1.72333812713623,401.477172851562
She,27,119,1.19540333747864,3.91850924491882,599.895874023438
Sindhi,25.5,69,2.25886082649231,2.62510633468628,12.1428661346436
Somali,5.6,48.3,3.24653053283691,3.38692808151245,103.226783752441
Spanish,39.9,-4,0.367179036140442,2.46191263198853,682.370910644531
Surui,-11,-62,1.9172135591507,4.44349479675293,220.012847900391
Tajik,37.508,71.568,0.504563748836517,0.515241086483002,3764.5341796875
Thai,13.8,100.5,2.59631133079529,4.52932548522949,2.30360817909241
Tlingit,53.022103,158.676604,-0.100510050542653,-0.221139259636402,24.6774139404297
Tu,36,101,1.22426021099091,1.08297371864319,3335.35400390625
Tubalar,51.13333333,87,0.0530977584421635,0.523281753063202,1631.29626464844
Tujia,29,109,0.831004619598389,2.78630185127258,555.77001953125
Turkish,38.7,35.5,0.379825323820114,1.33502054214478,1438.88806152344
Tuscan,43,11,0.195010662078857,1.96051692962646,176.588241577148
Ulchi,52.43,140.42,0.0651953965425491,-0.490355670452118,171.888259887695
Uygur,44,81,0.610054731369019,0.308148473501205,1235.37622070312
Xibo,43.5,81.5,0.62520432472229,0.178042352199554,1691.78369140625
Yadava,17.7,83.3,2.56215715408325,4.68726110458374,20.2092151641846
Yakut,63,129.5,-0.556123614311218,-1.89354157447815,103.949531555176
Yemenite_Jew,15.4,44.2,2.85245537757874,3.1120924949646,2332.26538085938
Yi,28,103,1.31084418296814,3.60134148597717,2184.57495117188
Yoruba,7.4,3.9,1.74928677082062,4.20362710952759,138.964828491211
Zapotec,16.5,-97.2,2.47836065292358,3.56610536575317,857.003051757812
